É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/10/16 17:12:51

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
îNåéì˙,ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2024/10/1,20.4,8,1,26.3,8,1,15.1,8,1
2024/10/2,18.5,8,1,22.0,8,1,15.0,8,1
2024/10/3,14.7,8,1,16.8,8,1,12.1,8,1
2024/10/4,13.7,8,1,15.2,8,1,12.0,8,1
2024/10/5,17.2,8,1,21.3,8,1,12.4,8,1
2024/10/6,16.7,8,1,22.5,8,1,10.9,8,1
2024/10/7,16.1,8,1,18.1,8,1,14.2,8,1
2024/10/8,15.2,8,1,19.4,8,1,11.3,8,1
2024/10/9,12.6,8,1,17.7,8,1,8.1,8,1
2024/10/10,13.0,8,1,18.4,8,1,7.4,8,1
2024/10/11,12.9,8,1,18.1,8,1,7.7,8,1
2024/10/12,14.9,8,1,21.1,8,1,8.2,8,1
2024/10/13,14.9,8,1,17.6,8,1,9.3,8,1
2024/10/14,14.1,8,1,20.3,8,1,7.2,8,1
2024/10/15,18.3,8,1,21.1,8,1,15.0,8,1
2024/10/16,15.0,8,1,18.6,8,1,8.7,8,1
2024/10/17,12.8,8,1,20.2,8,1,6.5,8,1
2024/10/18,14.5,8,1,18.9,8,1,7.6,8,1
2024/10/19,12.8,8,1,18.5,8,1,5.1,8,1
2024/10/20,7.1,8,1,10.7,8,1,2.8,8,1
2024/10/21,10.4,8,1,15.1,8,1,3.6,8,1
2024/10/22,15.7,8,1,20.3,8,1,10.7,8,1
2024/10/23,18.3,8,1,20.8,8,1,15.9,8,1
2024/10/24,15.5,8,1,19.3,8,1,9.4,8,1
2024/10/25,11.6,8,1,16.6,8,1,7.7,8,1
2024/10/26,11.3,8,1,17.3,8,1,6.7,8,1
2024/10/27,10.9,8,1,16.4,8,1,5.8,8,1
2024/10/28,9.6,8,1,14.4,8,1,6.2,8,1
2024/10/29,9.0,8,1,14.6,8,1,4.5,8,1
2024/10/30,9.7,8,1,14.8,8,1,4.0,8,1
2024/10/31,11.9,8,1,15.9,8,1,7.3,8,1
2024/11/1,10.2,8,1,12.1,8,1,7.8,8,1
2024/11/2,11.1,8,1,15.5,8,1,7.1,8,1
2024/11/3,8.9,8,1,12.2,8,1,6.6,8,1
2024/11/4,10.2,8,1,14.8,8,1,6.0,8,1
2024/11/5,7.0,8,1,8.8,8,1,3.9,8,1
2024/11/6,4.7,8,1,8.9,8,1,0.5,8,1
2024/11/7,2.2,8,1,4.2,8,1,0.7,8,1
2024/11/8,4.3,8,1,6.9,8,1,0.4,8,1
2024/11/9,6.0,8,1,9.5,8,1,2.1,8,1
2024/11/10,8.6,8,1,14.1,8,1,0.8,8,1
2024/11/11,9.9,8,1,14.6,8,1,3.7,8,1
2024/11/12,7.0,8,1,13.1,8,1,1.9,8,1
2024/11/13,5.9,5,1,8.1,8,1,3.0,8,1
2024/11/14,6.1,8,1,10.2,8,1,0.8,8,1
2024/11/15,9.4,8,1,14.9,8,1,6.3,8,1
2024/11/16,9.6,8,1,13.8,8,1,4.0,8,1
2024/11/17,9.9,8,1,15.7,8,1,2.9,8,1
2024/11/18,0.5,8,1,3.4,8,1,-2.9,8,1
2024/11/19,0.1,8,1,3.0,8,1,-3.0,8,1
2024/11/20,5.8,8,1,9.3,8,1,0.7,8,1
2024/11/21,5.2,8,1,9.6,8,1,1.3,8,1
2024/11/22,4.7,8,1,7.5,8,1,1.2,8,1
2024/11/23,3.5,8,1,8.0,8,1,-0.7,8,1
2024/11/24,1.8,8,1,3.2,8,1,-1.4,8,1
2024/11/25,3.7,8,1,6.8,8,1,1.5,8,1
2024/11/26,5.0,8,1,9.9,8,1,-0.9,8,1
2024/11/27,10.5,8,1,13.4,8,1,6.6,8,1
2024/11/28,5.4,8,1,8.8,8,1,2.4,8,1
2024/11/29,1.4,8,1,4.6,8,1,-0.9,8,1
2024/11/30,0.5,8,1,2.1,8,1,-1.2,8,1
2024/12/1,2.4,8,1,5.5,8,1,-0.9,8,1
2024/12/2,3.5,8,1,7.8,8,1,-1.9,8,1
2024/12/3,4.1,8,1,8.3,8,1,-0.3,8,1
2024/12/4,-0.2,8,1,3.7,8,1,-1.7,8,1
2024/12/5,-0.5,8,1,2.4,8,1,-2.3,8,1
2024/12/6,-1.7,8,1,0.9,8,1,-4.4,8,1
2024/12/7,-2.5,8,1,-0.6,8,1,-4.5,8,1
2024/12/8,-1.6,8,1,0.6,8,1,-3.4,8,1
2024/12/9,0.0,8,1,2.0,8,1,-1.1,8,1
2024/12/10,1.3,8,1,3.9,8,1,-0.4,8,1
2024/12/11,-1.5,8,1,1.4,8,1,-4.4,8,1
2024/12/12,-3.6,8,1,-0.5,8,1,-5.0,8,1
2024/12/13,-2.8,8,1,-1.2,5,1,-4.8,8,1
2024/12/14,-3.2,8,1,-0.6,8,1,-4.6,8,1
2024/12/15,-2.6,8,1,0.5,8,1,-4.4,8,1
2024/12/16,-4.7,8,1,-3.3,8,1,-6.6,8,1
2024/12/17,-4.6,8,1,-2.7,8,1,-8.0,8,1
2024/12/18,-3.3,8,1,-0.7,8,1,-6.5,8,1
2024/12/19,-0.6,8,1,1.5,8,1,-3.1,8,1
2024/12/20,-3.3,8,1,-1.5,8,1,-6.9,8,1
2024/12/21,-5.2,8,1,-2.8,8,1,-8.2,8,1
2024/12/22,-3.8,8,1,-1.6,8,1,-5.6,8,1
2024/12/23,-3.4,8,1,0.0,8,1,-7.0,8,1
2024/12/24,-4.1,8,1,-0.5,8,1,-8.4,8,1
2024/12/25,-0.2,8,1,2.1,8,1,-3.5,8,1
2024/12/26,0.2,8,1,3.7,8,1,-4.4,8,1
2024/12/27,-5.0,8,1,-3.4,8,1,-6.5,8,1
2024/12/28,-3.4,8,1,0.0,8,1,-6.9,8,1
2024/12/29,-3.4,8,1,0.0,8,1,-5.1,8,1
2024/12/30,-3.2,8,1,-0.5,8,1,-5.6,8,1
2024/12/31,-3.5,8,1,-1.4,8,1,-5.5,8,1
2025/1/1,-2.4,8,1,1.4,8,1,-4.6,8,1
2025/1/2,-3.5,8,1,-0.1,8,1,-6.7,8,1
2025/1/3,-4.7,8,1,-1.7,8,1,-7.6,8,1
2025/1/4,-4.2,8,1,-2.0,8,1,-7.2,8,1
2025/1/5,-3.6,8,1,-1.5,8,1,-6.4,8,1
2025/1/6,0.2,8,1,3.2,8,1,-3.4,8,1
2025/1/7,0.4,8,1,1.8,8,1,-1.3,8,1
2025/1/8,-1.9,8,1,0.3,8,1,-3.5,8,1
2025/1/9,-2.6,8,1,-0.1,8,1,-3.8,8,1
2025/1/10,-1.6,8,1,1.8,8,1,-4.6,8,1
2025/1/11,-1.6,8,1,0.0,8,1,-3.6,8,1
2025/1/12,-1.3,8,1,1.5,8,1,-3.8,8,1
2025/1/13,-1.1,8,1,1.7,8,1,-3.8,8,1
2025/1/14,-0.1,8,1,4.3,8,1,-3.0,8,1
2025/1/15,-4.3,8,1,-2.4,8,1,-6.0,8,1
2025/1/16,-4.3,8,1,-2.4,8,1,-7.1,8,1
2025/1/17,-4.8,8,1,-3.2,8,1,-5.9,8,1
2025/1/18,-3.9,8,1,-0.2,8,1,-7.0,8,1
2025/1/19,-1.6,8,1,3.3,8,1,-8.5,8,1
2025/1/20,2.6,8,1,5.4,8,1,0.5,8,1
2025/1/21,-0.4,8,1,1.6,8,1,-2.5,8,1
2025/1/22,1.3,8,1,5.1,8,1,-2.3,8,1
2025/1/23,2.0,8,1,4.0,8,1,0.3,8,1
2025/1/24,1.5,8,1,2.8,8,1,0.5,8,1
2025/1/25,2.3,8,1,4.6,8,1,0.1,8,1
2025/1/26,0.3,8,1,3.6,8,1,-2.7,8,1
2025/1/27,-0.3,8,1,4.0,8,1,-4.3,8,1
2025/1/28,0.3,8,1,3.3,8,1,-2.6,8,1
2025/1/29,-0.2,8,1,2.1,8,1,-2.6,8,1
2025/1/30,-0.4,8,1,2.4,8,1,-1.7,8,1
